First Name,Last Name,Phone Number,Email Address,Address
Jane,Smith,(519) 888-1234,jane@example.com,456 Oak St
Tom,Johnson,(345) 678-9012,tom@example.com,234 Birch St
Sara,Williams,(456) 789-0123,sara@example.com,567 Cedar St
James,Jones,(567) 890-1234,james@example.com,890 Spruce St
Patricia,Brown,(678) 901-2345,patricia@example.com,123 Willow St
Robert,Davis,(789) 012-3456,robert@example.com,456 Pine St
Jennifer,Miller,(890) 123-4567,jennifer@example.com,789 Maple St
Michael,Wilson,(901) 234-5678,michael@example.com,123 Oak St
Linda,Moore,(012) 345-6789,linda@example.com,456 Elm St
William,Taylor,(123) 456-7890,,123 Birch St
Elizabeth,Anderson,(234) 567-8901,,567 Cedar St
David,Thomas,(345) 678-9012,,890 Spruce St
Barbara,Jackson,(456) 789-0123,,123 Willow St
Richard,White,(567) 890-1234,,456 Pine St
Susan,Harris,(678) 901-2345,,789 Maple St
